City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,Qingdao,36.0986,120.3719,71.2,100,100,11.18,CN,2022-09-15 04:58:22
27,Bambous Virieux,-20.3428,57.7575,74.21,64,20,12.66,MU,2022-09-15 04:59:03
28,Maningrida,-12.0667,134.2667,88.75,55,3,15.52,AU,2022-09-15 04:59:03
29,Hermanus,-34.4187,19.2345,56.16,79,59,3.71,ZA,2022-09-15 04:59:03
30,Cape Town,-33.9258,18.4232,61.38,84,53,9.22,ZA,2022-09-15 04:57:57
31,Ostrovnoy,68.0531,39.5131,48.52,80,92,7.02,RU,2022-09-15 04:59:04
32,Port Elizabeth,-33.918,25.5701,63.32,70,0,14.97,ZA,2022-09-15 04:59:04
33,Avarua,-21.2078,-159.775,73.45,73,20,13.8,CK,2022-09-15 04:59:04
34,Atchison,39.563,-95.1216,72.99,38,87,13.98,US,2022-09-15 04:59:05
35,Kodiak,57.79,-152.4072,50.2,80,60,3.51,US,2022-09-15 04:59:05
36,Hobart,-42.8794,147.3294,58.86,58,75,5.75,AU,2022-09-15 04:57:59
37,Kirn,49.7833,7.45,61.43,90,100,5.14,DE,2022-09-15 04:59:05
38,Hasaki,35.7333,140.8333,77.4,61,82,10.02,JP,2022-09-15 04:59:06
39,Noumea,-22.2763,166.4572,73.38,70,69,8.19,NC,2022-09-15 04:59:06
40,Ribeira Grande,38.5167,-28.7,74.14,86,100,22.55,PT,2022-09-15 04:59:06
41,Barrow,71.2906,-156.7887,33.91,99,100,23.51,US,2022-09-15 04:59:07
42,Thompson,55.7435,-97.8558,50.16,76,100,2.3,CA,2022-09-15 04:59:07
43,North Bend,43.4065,-124.2243,58.24,100,100,5.75,US,2022-09-15 04:59:07
44,Busselton,-33.65,115.3333,61.12,64,68,16.2,AU,2022-09-15 04:59:07
45,Jamestown,42.097,-79.2353,60.44,82,100,6.91,US,2022-09-15 04:55:18
46,Harper,4.375,-7.7169,76.37,81,98,8.23,LR,2022-09-15 05:00:08
47,Fremont,37.5483,-121.9886,65.59,82,100,7.0,US,2022-09-15 04:59:47
48,Port Hardy,50.6996,-127.4199,54.73,91,72,6.87,CA,2022-09-15 05:00:09
49,Longyearbyen,78.2186,15.6401,28.72,82,95,2.91,SJ,2022-09-15 05:00:09
50,Udachnyy,66.4167,112.4,44.46,45,32,12.55,RU,2022-09-15 05:00:10
51,Valdemarpils,57.3707,22.5919,51.85,91,39,9.37,LV,2022-09-15 04:56:16
