City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
140,Salalah,OM,78.51,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
141,Karratha,AU,85.26,-20.7377,116.8463,ibis Styles Karratha
143,Vila Franca Do Campo,PT,77.2,37.7167,-25.4333,Pestana Bahia Praia
155,Venice,US,77.02,27.0998,-82.4543,A Beach Retreat On Casey Key
157,Mecca,SA,91.94,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
160,Hami,CN,82.17,42.8,93.45,Laoyutang Resort
161,Rantepao,ID,78.08,-2.9701,119.8978,Hotel Luta Resort
164,Alofi,NU,76.51,-19.0595,-169.9187,Taloa Heights
165,Tahta,EG,76.8,26.7693,31.5021,فندق الزيات
166,Kendari,ID,80.96,-3.945,122.4989,Hotel Wixel
175,Muzaffarabad,PK,82.17,34.37,73.4711,Pearl Continental Muzaffarabad
177,Butaritari,KI,81.52,3.0707,172.7902,Isles Sunset Lodge
184,Bengkulu,ID,83.61,-3.8004,102.2655,Grage Hotel Bengkulu
186,Adrar,MR,89.4,20.5022,-10.0711,
188,Cabo San Lucas,MX,82.62,22.8909,-109.9124,Hotel Tesoro Los Cabos
191,Balabac,PH,80.89,7.9868,117.0645,Batalla’s Lodging House
192,Aripuana,BR,79.02,-9.1667,-60.6333,
199,Hong Gai,VN,91.31,20.956,107.0946,Hạ Long DC Hotel
200,Kirakira,SB,83.14,-10.4544,161.9205,SanBiz Lodge
205,Gat,IL,75.88,31.61,34.7642,OlusHome
207,Merauke,ID,82.9,-8.4667,140.3333,
208,Kashi,CN,82.02,39.4547,75.9797,帕米尔青年旅舍
212,Hirara,JP,83.01,24.8,125.2833,Hotel Atoll Emerald Miyakojima
216,Sao Filipe,CV,78.19,14.8961,-24.4956,Hotel Xaguate
219,Gondanglegi,ID,91.72,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
221,Dicabisagan,PH,88.38,17.0818,122.4157,Nancy Montanes Bernardo
224,Lamu,KE,79.02,-2.2717,40.902,Lamu House
227,Sawakin,SD,88.9,19.1059,37.3321,فندق الدويم
231,Kidal,ML,88.02,18.4411,1.4078,
233,Nautla,MX,75.29,20.2167,-96.7833,Casa Blanca
234,Rajo Khanani,PK,93.56,24.9841,68.8536,asad house
240,Padang,ID,85.08,-0.9492,100.3543,Mercure Padang
242,Magaria,NE,80.6,12.9983,8.9099,Chez Honorable Chapiou
244,Cockburn Town,TC,83.82,21.4612,-71.1419,Osprey Beach Hotel
246,Bairiki,KI,84.2,1.3292,172.9752,Tarawa Boutique Hotel
249,Atar,MR,89.13,20.5169,-13.0499,Oumou Elghoura
256,Asyut,EG,76.68,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
257,Kroya,ID,82.18,-7.6331,109.2461,Devina kost & Homestay Kroya
260,Marzuq,YE,81.81,14.4,46.4667,حيد القفلة
266,Mandalgovi,MN,75.56,45.7625,106.2708,В.Ганбат
267,Qom,IR,86.43,34.6401,50.8764,Qom Hotel
268,Port Blair,IN,84.24,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
271,Tra Vinh,VN,87.53,9.9347,106.3453,Hồng Ân
272,Pangai,TO,77.56,-19.8,-174.35,Ha'apai Beach Resort
274,Kahului,US,79.84,20.8947,-156.47,Maui Seaside Hotel
276,Hobyo,SO,78.58,5.3505,48.5268,Halane Hotel and Restaurent
279,Fare,PF,77.81,-16.7,-151.0167,Maitai Lapita Village Huahine
280,Etchojoa,MX,84.27,26.9167,-109.6333,Cuadra RT
